	CITY	STATE	OLD	BLACK%	ASIAN%	HISP%	DEATH	POP_CH	POPDEN	CRIME	INCOME	UNEMP	POVERT	BORN_F	LANG	FAMIL1	SCHOOL	DEGREE	ASSIST	GROSS	CONDOM	LAB_F	MANLAB	TRANSP	TEMPER	PRECEP
27	DENVER	CO	13,9	12,8	2,4	23	10,7	-1,8	3156	7625	25106	5,4	17,1	7,4	16,9	27,9	85,9	29	7,6	386	9,6	60	10	8	73,5	15,4
28	FORT_WOR	TX	11,2	22	2	19,5	9,9	18	1617	16973	26547	8,1	17,4	9	19,4	24,6	90,9	21,5	6,2	403	1,7	58	21,5	1,7	85,3	33,7
29	OKLAHOMA	OK	11,9	16	2,4	5	11,8	12,4	746	11073	25741	6,1	15,9	4,2	7,5	22,9	90,3	21,6	6,6	364	3,3	59	12	1,1	82	33,4
30	PORTLAND	OR	14,6	7,7	5,3	3,2	11	21	3572	11182	25592	5,3	14,5	7,7	10	25,1	89,1	25,9	6,9	397	1,8	59,1	15,1	11	68,2	36,3
31	LONG_BEA	CA	10,8	13,7	13,6	23,6	9,9	21,4	8775	9131	31938	7,7	16,8	24,3	32,8	29	91,6	23,2	11,3	605	7,5	56,6	20,4	6	73,1	11,8
32	KANSAS_C	MO	12,9	29,6	1,2	3,9	13,2	-3,7	1385	13198	26713	6,9	15,3	2,8	6,5	29,3	85,6	22	7,9	404	2,5	61,3	13,7	5,8	78,5	37,6
33	VIRGINIA	VA	5,9	13,9	4,3	3,1	13,5	59,1	1680	5863	25	5,4	5,9	5,2	7,9	15,9	93,1	25,5	3	577	6,5	65,1	8,5	0,8	78,2	44,6
34	CHARLOTT	NC	9,8	31,8	1,8	1,4	13,7	32	2388	12643	31873	5	10,8	3,8	6,3	25,8	89,3	28,4	5,2	462	8,3	65,3	14,3	4,5	79,3	43,1
35	TUCSON	AZ	12,6	4,3	2,2	29,3	10,9	25,6	2656	10401	21748	3,9	20,2	10,7	27,1	25,8	91,9	20,7	6,6	377	4,8	56,4	9,5	4,2	86,6	12
36	ALBUQUER	NM	11,1	3	1,7	34,5	10	19,7	3014	10284	27555	5	14	5,5	25,3	23,1	91,3	28,4	5,5	402	2,5	60,4	9,4	2	78,5	8,9
37	ATLANTA	GA	11,3	67,1	0,9	1,9	16,5	-7,1	2996	18953	22275	6,5	27,3	3,4	5,8	49	90,3	26,6	13,6	422	6,1	56,7	9,4	20	78,8	50,8
38	ST__LOUI	MO	16,6	47,5	0,9	1,3	14,6	-15,3	6199	16031	19458	9	24,6	2,5	5,1	43,6	77,4	15,3	13,6	342	1,6	53,1	15,1	12,2	78,4	37,9
